algorithm;environment;iteration;seed_count;reward_Mean;reward_StdDev;reward_max_mean;reward_max_Max;evaluation_reward_Mean;evaluation_reward_StdDev;duration_Mean;time_total_Mean;entropy_Mean;steps_trained_Mean;steps_sampled_Mean;reward_StdError;reward_upperErrorBound;reward_lowerErrorBound
DDPG;Pendulum-v1_unchanged;1;11;-1280,839069222018;116,58188622271076;-961,2056101152793;-740,4806490865983;;;1,3597977594895796;1,3597977594895796;;0,0;1000,0;35,15076126842138;-1245,6883079535967;-1315,9898304904393
DDPG;Pendulum-v1_unchanged;2;11;-1296,0583424553793;94,6803470810249;-938,1594813261287;-740,4806490865983;;;5,542102466930043;6,901900226419622;;25600,0;2000,0;28,547198753489155;-1267,5111437018902;-1324,6055412088683
DDPG;Pendulum-v1_unchanged;3;11;-1344,2966933179623;52,51672112619869;-938,1594813261287;-740,4806490865983;;;10,047260587865656;16,94916081428528;;76800,0;3000,0;15,834387199575612;-1328,4623061183868;-1360,1310805175378
DDPG;Pendulum-v1_unchanged;4;11;-1376,876096344871;41,04225969939916;-938,1594813261287;-740,4806490865983;;;9,991676460612904;26,940837274898183;;128000,0;4000,0;12,374706906475602;-1364,5013894383953;-1389,2508032513467
DDPG;Pendulum-v1_unchanged;5;11;-1400,3976533080422;31,11739068588934;-938,1594813261287;-740,4806490865983;-1473,141794138702;28,43693447777153;10,207249229604548;37,14808650450273;;179200,0;5000,0;9,382246305454073;-1391,015407002588;-1409,7798996134964
DDPG;Pendulum-v1_unchanged;6;11;-1411,9570049065183;25,07871024223466;-938,1594813261287;-740,4806490865983;;;10,142892837524414;47,29097934202714;;230400,0;6000,0;7,561515645412304;-1404,395489261106;-1419,5185205519306
DDPG;Pendulum-v1_unchanged;7;11;-1420,6482272384735;21,548933457209735;-938,1594813261287;-740,4806490865983;;;10,300462094220249;57,59144143624739;;281600,0;7000,0;6,497247900900064;-1414,1509793375735;-1427,1454751393735
DDPG;Pendulum-v1_unchanged;8;11;-1416,0368985050686;19,426572149690248;-773,0117612772982;-4,210428726113699;;;10,344405022534458;67,93584645878185;;332800,0;8000,0;5,857331889390043;-1410,1795666156786;-1421,8942303944586
DDPG;Pendulum-v1_unchanged;9;11;-1413,2747759544623;17,39135659640728;-660,6639918854661;-4,210428726113699;;;10,46078179099343;78,39662824977528;;384000,0;9000,0;5,243691311414118;-1408,0310846430482;-1418,5184672658763
DDPG;Pendulum-v1_unchanged;10;11;-1404,520357264784;29,187011339932415;-660,3696590172422;-2,0249394338303213;-1397,2261930089435;58,01730691849851;10,508030457930131;88,90465870770541;;435200,0;10000,0;8,800215033309456;-1395,7201422314745;-1413,3205722980936
DDPG;Pendulum-v1_unchanged;11;11;-1396,4973378628972;24,984581474537368;-582,7187367668465;-2,0249394338303213;;;10,376886064356023;99,28154477206144;;486400,0;11000,0;7,533134754100446;-1388,9642031087967;-1404,0304726169977
DDPG;Pendulum-v1_unchanged;12;11;-1385,9048451909794;28,381209602271;-504,17063113602705;-2,0249394338303213;;;10,399917949329723;109,68146272139116;;537600,0;12000,0;8,557256667924065;-1377,3475885230553;-1394,4621018589035
DDPG;Pendulum-v1_unchanged;13;11;-1368,936650909716;22,34523552535096;-326,09978790803683;-2,0249394338303213;;;10,459499402479691;120,14096212387085;;588800,0;13000,0;6,7373420081553785;-1362,1993089015607;-1375,6739929178714
DDPG;Pendulum-v1_unchanged;14;11;-1352,2249038148818;29,05433804515285;-230,99891865006842;-1,5894963978619685;;;10,36865006793629;130,50961219180715;;640000,0;14000,0;8,760212529810909;-1343,464691285071;-1360,9851163446926
DDPG;Pendulum-v1_unchanged;15;11;-1338,5874177530425;32,023040208524314;-163,40195964612056;-0,5271460943982501;-1120,637444430654;108,10064257026795;10,50845655527982;141,01806874708697;;691200,0;15000,0;9,655309910739954;-1328,9321078423025;-1348,2427276637825
DDPG;Pendulum-v1_unchanged;16;11;-1321,1391410080926;31,11447499118964;-160,240764679403;-0,5271460943982501;;;10,545734925703568;151,56380367279053;;742400,0;16000,0;9,381367190424788;-1311,7577738176678;-1330,5205081985173
DDPG;Pendulum-v1_unchanged;17;11;-1305,1441023570917;29,460993921518806;-154,54507316454544;-0,5271460943982501;;;10,50580889528448;162,069612568075;;793600,0;17000,0;8,882823889874457;-1296,2612784672172;-1314,0269262469662
DDPG;Pendulum-v1_unchanged;18;11;-1288,7493057321647;33,47437620275388;-83,53752996055688;-0,5271460943982501;;;10,510097351941196;172,5797099200162;;844800,0;18000,0;10,092904177794216;-1278,6564015543704;-1298,842209909959
DDPG;Pendulum-v1_unchanged;19;11;-1272,4124736884248;33,30383662214986;-66,16512062525878;-0,5271460943982501;;;10,471028262918646;183,05073818293485;;896000,0;19000,0;10,04148455954257;-1262,3709891288822;-1282,4539582479674
DDPG;Pendulum-v1_unchanged;20;11;-1250,447845541097;35,19570547962368;-3,0286412968001075;-0,5271460943982501;-954,1064718353413;121,41528851233879;10,533575361425227;193,58431354436007;;947200,0;20000,0;10,6119044825243;-1239,8359410585726;-1261,0597500236213
DDPG;Pendulum-v1_unchanged;21;11;-1228,2756809205655;36,18348785805031;-3,0286412968001075;-0,5271460943982501;;;10,463080796328457;204,04739434068853;;998400,0;21000,0;10,909732075593935;-1217,3659488449716;-1239,1854129961594
