algorithm;environment;iteration;seed_count;reward_Mean;reward_StdDev;reward_max_mean;reward_max_Max;evaluation_reward_Mean;evaluation_reward_StdDev;duration_Mean;time_total_Mean;entropy_Mean;steps_trained_Mean;steps_sampled_Mean;reward_StdError;reward_upperErrorBound;reward_lowerErrorBound
TD3;Ant-V4_unchanged;1;11;-23,656789961071205;7,178785657262196;8,211337876902881;43,23062006424327;;;1,5595061345533892;1,5595061345533892;;0,0;1000,0;2,1644853159566892;-21,492304645114515;-25,821275277027894
TD3;Ant-V4_unchanged;2;11;-25,13690688468316;8,009434288246911;12,575683601699483;43,23062006424327;;;1,4558013785969128;3,0153075131503018;;0,0;2000,0;2,4149353015565693;-22,721971583126592;-27,55184218623973
TD3;Ant-V4_unchanged;3;11;-27,640844734457037;7,492457896432904;13,775116127354243;43,23062006424327;;;1,4556618387048894;4,470969351855191;;0,0;3000,0;2,2590610545457674;-25,38178367991127;-29,899905789002805
TD3;Ant-V4_unchanged;4;11;-28,02150534648397;6,784258109154438;16,10923596587084;43,23062006424327;;;1,4550760442560369;5,9260453961112285;;0,0;4000,0;2,0455307844537507;-25,97597456203022;-30,06703613093772
TD3;Ant-V4_unchanged;5;11;-43,53670589243552;17,876689796220408;16,10923596587084;43,23062006424327;783,4424526188567;138,84194389819845;12,797298734838312;18,723344130949542;;0,0;5000,0;5,390024777058002;-38,14668111537752;-48,92673066949352
TD3;Ant-V4_unchanged;6;11;-47,39629633037539;20,929469133380664;16,692281187863806;43,23062006424327;;;1,3877615495161577;20,1111056804657;;0,0;6000,0;6,3104723797044056;-41,085823950670985;-53,7067687100798
TD3;Ant-V4_unchanged;7;11;-48,903673282661295;17,03670463294427;16,958122957278146;43,23062006424327;;;1,3711770664561878;21,482282746921886;;0,0;7000,0;5,1367597210532425;-43,76691356160805;-54,04043300371454
TD3;Ant-V4_unchanged;8;11;-49,9202399754947;12,924597663266447;19,807732096292394;43,23062006424327;;;1,4085776589133523;22,890860405835237;;0,0;8000,0;3,896912819578088;-46,02332715591661;-53,81715279507279
TD3;Ant-V4_unchanged;9;11;-50,30500695359786;11,301366699157544;22,43914110646965;43,23062006424327;;;1,439422000538219;24,330282406373456;;0,0;9000,0;3,4074902690293536;-46,89751668456851;-53,71249722262721
TD3;Ant-V4_unchanged;10;11;-48,19161460799489;9,393252052208434;22,43914110646965;43,23062006424327;769,755464318569;145,94365338237333;12,497389880093662;36,82767228646712;;0,0;10000,0;2,8321720562192025;-45,35944255177569;-51,02378666421409
TD3;Ant-V4_unchanged;11;11;-53,481450938876904;10,98402501014112;22,43914110646965;43,23062006424327;;;9,8497756394473;46,677447925914414;;20000,0;11000,0;3,3118081496834333;-50,16964278919347;-56,79325908856034
TD3;Ant-V4_unchanged;12;11;-61,05889076270662;15,683347682251094;22,43914110646965;43,23062006424327;;;9,5121798732064;56,189627799120814;;40000,0;12000,0;4,7287072471560805;-56,33018351555054;-65,7875980098627
TD3;Ant-V4_unchanged;13;11;-69,1865720113261;16,214940859357714;22,43914110646965;43,23062006424327;;;9,529913208701394;65,71954100782222;;60000,0;13000,0;4,888988620753863;-64,29758339057224;-74,07556063207997
TD3;Ant-V4_unchanged;14;11;-74,7860333236238;17,138917884228835;22,43914110646965;43,23062006424327;;;9,396881905469028;75,11642291329123;;80000,0;14000,0;5,167578175881716;-69,61845514774208;-79,95361149950551
TD3;Ant-V4_unchanged;15;11;-76,61236880346725;22,76710304104177;60,27580061752926;242,98036015395675;882,6725488639688;68,68694796481513;15,181408340280706;90,29783125357194;;100000,0;15000,0;6,864539850044996;-69,74782895342226;-83,47690865351224
TD3;Ant-V4_unchanged;16;11;-73,9176966172114;22,641202267326744;167,95900624379257;540,797176601788;;;9,872020613063466;100,16985186663541;;120000,0;16000,0;6,826579338478797;-67,09111727873261;-80,7442759556902
TD3;Ant-V4_unchanged;17;11;-65,41623872705941;23,784546922348316;472,38906193003277;850,6916979272097;;;9,600265632976186;109,7701174996116;;140000,0;17000,0;7,1713107227301505;-58,24492800432926;-72,58754944978956
TD3;Ant-V4_unchanged;18;11;-54,11735259187832;25,570888930052558;681,2512535858273;887,9849649801674;;;9,716598424044522;119,48671592365612;;160000,0;18000,0;7,709913103348798;-46,407439488529526;-61,82726569522712
TD3;Ant-V4_unchanged;19;11;-43,29369431921119;21,90946471754937;838,5621851700314;887,9849649801674;;;9,65762803771279;129,14434396136892;;180000,0;19000,0;6,605952165967382;-36,68774215324381;-49,89964648517857
TD3;Ant-V4_unchanged;20;11;-20,635700429899963;21,764699865005543;844,6064743499664;887,9849649801674;863,1928408228679;47,19074607996108;15,230140512639826;144,37448447400874;;200000,0;20000,0;6,562303920629292;-14,07339650927067;-27,198004350529253
TD3;Ant-V4_unchanged;21;11;-8,185438204556702;16,867978587774;846,3340987753388;887,9849649801674;;;9,829057715155862;154,2035421891646;;220000,0;21000,0;5,085886904308666;-3,099551300248036;-13,271325108865367
TD3;Ant-V4_unchanged;22;11;0,06037387178786104;19,473751536483313;848,3737764642112;887,9849649801674;;;9,824012236161666;164,02755442532626;;240000,0;22000,0;5,871557009738374;5,931930881526235;-5,811183137950513
TD3;Ant-V4_unchanged;23;11;9,936475372036723;21,062738385678788;855,8443617896879;887,9849649801674;;;9,74389199777083;173,7714464230971;;260000,0;23000,0;6,350654571155686;16,287129943192408;3,585820800881037
TD3;Ant-V4_unchanged;24;11;19,32890518887555;17,34144776045488;859,8971026651965;887,9849649801674;;;9,668039516969161;183,43948594006625;;280000,0;24000,0;5,228643231179799;24,557548420055348;14,10026195769575
TD3;Ant-V4_unchanged;25;11;38,960605291787765;19,004641500875792;862,6280158792387;890,788567985305;872,7602764665098;66,7267508176318;14,880696513436057;198,3201824535023;;300000,0;25000,0;5,730115012147428;44,690720303935194;33,230490279640335
TD3;Ant-V4_unchanged;26;11;49,74532609672697;14,495800566826333;863,4555109546775;899,8910138151327;;;9,983087583021684;208,303270036524;;320000,0;26000,0;4,370648319634916;54,11597441636189;45,37467777709205
TD3;Ant-V4_unchanged;27;11;56,5532908258423;18,37585891162533;865,4281897944223;899,8910138151327;;;9,782192186875777;218,08546222339976;;340000,0;27000,0;5,540529928215433;62,09382075405774;51,01276089762687
TD3;Ant-V4_unchanged;28;11;65,3443043635448;19,57499010716813;865,4281897944223;899,8910138151327;;;9,663243857297031;227,7487060806968;;360000,0;28000,0;5,902081587308684;71,24638595085348;59,44222277623611
TD3;Ant-V4_unchanged;29;11;72,58985730559488;16,993890990667563;865,4281897944223;899,8910138151327;;;9,513432372700084;237,2621384533969;;380000,0;29000,0;5,12385092220412;77,713708227799;67,46600638339075
TD3;Ant-V4_unchanged;30;11;88,78390977348914;20,061357901744095;866,4105829947446;899,8910138151327;700,8728497882244;231,47880593449938;13,840009624307806;251,1021480777047;;400000,0;30000,0;6,048726995010605;94,83263676849975;82,73518277847853
TD3;Ant-V4_unchanged;31;11;97,62934334202625;16,511425667750167;866,459993205801;899,8910138151327;;;9,728828603571111;260,8309766812758;;420000,0;31000,0;4,978382153979152;102,6077254960054;92,65096118804709
TD3;Ant-V4_unchanged;32;11;100,9195880946343;18,9092968735506;866,459993205801;899,8910138151327;;;9,526185100728815;270,3571617820046;;440000,0;32000,0;5,7013675253643425;106,62095561999865;95,21822056926996
TD3;Ant-V4_unchanged;33;11;106,2884454713785;21,599685871650337;866,459993205801;899,8910138151327;;;9,645554130727595;280,0027159127322;;460000,0;33000,0;6,512550329618618;112,80099580099711;99,77589514175988
TD3;Ant-V4_unchanged;34;11;112,61131989421806;20,38419416227821;866,459993205801;899,8910138151327;;;9,439518906853415;289,4422348195856;;480000,0;34000,0;6,146065790002703;118,75738568422076;106,46525410421535
TD3;Ant-V4_unchanged;35;11;122,54259943089714;25,3071973086213;866,459993205801;899,8910138151327;669,5958333643529;207,6028021528204;13,15780503099615;302,60003985058177;;500000,0;35000,0;7,6304070880171695;130,17300651891432;114,91219234287998
TD3;Ant-V4_unchanged;36;11;131,34161563915112;22,91417140772941;866,459993205801;899,8910138151327;;;9,866040143099697;312,4660799936815;;520000,0;36000,0;6,908882631029841;138,25049827018097;124,43273300812128
TD3;Ant-V4_unchanged;37;11;134,82137013234845;23,230293165737407;866,459993205801;899,8910138151327;;;9,679439457980068;322,1455194516615;;540000,0;37000,0;7,0041969273371185;141,82556705968557;127,81717320501133
TD3;Ant-V4_unchanged;38;11;139,1535579133971;23,439738024430888;866,459993205801;899,8910138151327;;;9,548127542842519;331,69364699450404;;560000,0;38000,0;7,06734692829669;146,2209048416938;132,0862109851004
TD3;Ant-V4_unchanged;39;11;145,0658017188481;24,48558504196909;866,459993205801;899,8910138151327;;;9,576960498636419;341,27060749314046;;580000,0;39000,0;7,382681668777278;152,44848338762537;137,6831200500708
